Madrid Top-10 Anomalies Analysis Results
==================================================

File: /home/swolf/asim_shared/preprocessed_data/seizure_only/8hz_30min/downsample_8hz_context_30min/sub-039_run-09_seizure_08_preprocessed.pkl
Analysis time: 1400.2 seconds
Signal length: 28864 samples
Sampling rate: 8 Hz
Seizure regions: 1
m-range: 80 to 800 (step: 80)
Top-K: 10
GPU used: Yes

Results per m-value:
m	Rank	Score	Location	Seizure_Hit
80	1	0.5845	14425	False
80	2	0.5650	14466	False
80	3	0.5631	14513	False
80	4	0.5507	14858	False
80	5	0.5449	27095	False
80	6	0.5434	14755	False
80	7	0.5383	15037	False
80	8	0.5305	14561	False
80	9	0.5295	27688	False
80	10	0.5262	15383	False
160	1	0.6101	14406	False
160	2	0.5961	14503	False
160	3	0.5894	14610	False
160	4	0.5805	14752	False
160	5	0.5713	27089	False
160	6	0.5704	14850	False
160	7	0.5694	24488	False
160	8	0.5655	25060	False
160	9	0.5640	27469	False
160	10	0.5583	27676	False
240	1	0.6140	14452	False
240	2	0.6120	14840	False
240	3	0.6014	14573	False
240	4	0.5994	14322	False
240	5	0.5940	27089	False
240	6	0.5865	27375	False
240	7	0.5834	14706	False
240	8	0.5803	25029	False
240	9	0.5787	24439	False
240	10	0.5773	27615	False
320	1	0.6290	14842	False
320	2	0.6210	14372	False
320	3	0.6119	14612	False
320	4	0.6070	27516	False
320	5	0.6026	25035	False
320	6	0.6017	27302	False
320	7	0.6008	27088	False
320	8	0.6007	24836	False
320	9	0.5954	15004	False
320	10	0.5819	24355	False
400	1	0.6343	14836	False
400	2	0.6262	14295	False
400	3	0.6241	14610	False
400	4	0.6175	27352	False
400	5	0.6161	24836	False
400	6	0.6105	27087	False
400	7	0.6032	25039	False
400	8	0.5939	16005	False
400	9	0.5798	16209	False
400	10	0.5792	15037	False
480	1	0.6431	14836	False
480	2	0.6313	14216	False
480	3	0.6289	14569	False
480	4	0.6266	24809	False
480	5	0.6253	27147	False
480	6	0.6164	27393	False
480	7	0.6064	15859	False
480	8	0.5894	22488	False
480	9	0.5872	15402	False
480	10	0.5856	25051	False
560	1	0.6444	14758	False
560	2	0.6342	14467	False
560	3	0.6310	27125	False
560	4	0.6299	14176	False
560	5	0.6285	24795	False
560	6	0.6071	15852	False
560	7	0.5958	25081	False
560	8	0.5955	15362	False
560	9	0.5952	27638	False
560	10	0.5943	22466	False
640	1	0.6469	14758	False
640	2	0.6389	14411	False
640	3	0.6364	24788	False
640	4	0.6342	27233	False
640	5	0.6293	14059	False
640	6	0.6134	25109	False
640	7	0.6101	15538	False
640	8	0.6045	22415	False
640	9	0.6033	24050	False
640	10	0.6023	27564	False
720	1	0.6502	14758	False
720	2	0.6420	14392	False
720	3	0.6385	24760	False
720	4	0.6360	27086	False
720	5	0.6306	14022	False
720	6	0.6202	15433	False
720	7	0.6107	23981	False
720	8	0.6100	15824	False
720	9	0.6087	22317	False
720	10	0.6079	27475	False
800	1	0.6520	14758	False
800	2	0.6459	27084	False
800	3	0.6417	14357	False
800	4	0.6377	24901	False
800	5	0.6274	13945	False
800	6	0.6273	15542	False
800	7	0.6199	23951	False
800	8	0.6154	22064	False
800	9	0.6119	24479	False
800	10	0.6087	27960	False
