Madrid Top-10 Anomalies Analysis Results
==================================================

File: /home/swolf/asim_shared/preprocessed_data/seizure_only/8hz_30min/downsample_8hz_context_30min/sub-119_run-28_seizure_06_preprocessed.pkl
Analysis time: 1398.7 seconds
Signal length: 28968 samples
Sampling rate: 8 Hz
Seizure regions: 1
m-range: 80 to 800 (step: 80)
Top-K: 10
GPU used: Yes

Results per m-value:
m	Rank	Score	Location	Seizure_Hit
80	1	0.4636	10389	False
80	2	0.4286	13779	False
80	3	0.4226	13738	False
80	4	0.3674	24776	False
80	5	0.3671	24729	False
80	6	0.3542	25307	False
80	7	0.3511	10302	False
80	8	0.3424	25123	False
80	9	0.3253	10260	False
80	10	0.3209	10430	False
160	1	0.5565	24744	False
160	2	0.5304	13734	False
160	3	0.5211	24934	False
160	4	0.5182	25273	False
160	5	0.5172	10333	False
160	6	0.4969	24661	False
160	7	0.4946	25354	False
160	8	0.4719	24825	False
160	9	0.4655	13652	False
160	10	0.4654	25914	False
240	1	0.5971	24817	False
240	2	0.5732	25911	False
240	3	0.5668	25281	False
240	4	0.5639	24692	False
240	5	0.5538	25428	False
240	6	0.5413	25570	False
240	7	0.5375	13645	False
240	8	0.5153	10309	False
240	9	0.5080	24939	False
240	10	0.4965	9778	False
320	1	0.6159	24837	False
320	2	0.6113	24676	False
320	3	0.5983	25298	False
320	4	0.5930	25891	False
320	5	0.5740	25137	False
320	6	0.5660	13666	False
320	7	0.5592	25533	False
320	8	0.5402	10295	False
320	9	0.5243	24345	False
320	10	0.5241	14430	True
400	1	0.6425	24782	False
400	2	0.6185	25350	False
400	3	0.5898	25056	False
400	4	0.5842	13615	False
400	5	0.5835	24580	False
400	6	0.5802	25551	False
400	7	0.5711	10289	False
400	8	0.5702	25753	False
400	9	0.5661	26060	False
400	10	0.5579	26716	False
480	1	0.6469	24682	False
480	2	0.6313	25352	False
480	3	0.6144	24974	False
480	4	0.6029	25679	False
480	5	0.6014	25997	False
480	6	0.5914	24415	False
480	7	0.5886	13567	False
480	8	0.5872	10296	False
480	9	0.5699	14769	False
480	10	0.5683	14387	True
560	1	0.6526	24945	False
560	2	0.6466	24664	False
560	3	0.6424	25271	False
560	4	0.6190	25594	False
560	5	0.6128	25899	False
560	6	0.5981	24355	False
560	7	0.5906	14389	True
560	8	0.5861	10190	False
560	9	0.5823	14762	False
560	10	0.5783	13493	False
640	1	0.6632	24807	False
640	2	0.6508	25131	False
640	3	0.6274	25540	False
640	4	0.6267	24436	False
640	5	0.6097	25862	False
640	6	0.5953	12111	False
640	7	0.5950	9676	False
640	8	0.5928	10178	False
640	9	0.5922	14333	True
640	10	0.5835	28039	False
720	1	0.6644	24758	False
720	2	0.6547	25123	False
720	3	0.6387	25730	False
720	4	0.6305	24373	False
720	5	0.6026	9764	False
720	6	0.5978	14754	False
720	7	0.5969	10163	False
720	8	0.5963	13518	False
720	9	0.5939	28024	False
720	10	0.5931	14337	True
800	1	0.6676	24678	False
800	2	0.6607	25114	False
800	3	0.6425	25670	False
800	4	0.6220	24200	False
800	5	0.6070	9953	False
800	6	0.6057	13437	False
800	7	0.6046	14753	False
800	8	0.6036	27784	False
800	9	0.6003	14283	True
800	10	0.5968	27368	False
