Madrid Top-10 Anomalies Analysis Results
==================================================

File: /home/swolf/asim_shared/preprocessed_data/seizure_only/8hz_30min/downsample_8hz_context_30min/sub-077_run-04_seizure_01_preprocessed.pkl
Analysis time: 1429.4 seconds
Signal length: 29208 samples
Sampling rate: 8 Hz
Seizure regions: 1
m-range: 80 to 800 (step: 80)
Top-K: 10
GPU used: Yes

Results per m-value:
m	Rank	Score	Location	Seizure_Hit
80	1	0.5994	10022	False
80	2	0.5944	9959	False
80	3	0.5823	10088	False
80	4	0.5763	10130	False
80	5	0.5757	10268	False
80	6	0.5612	10215	False
80	7	0.5521	10173	False
80	8	0.5482	21130	False
80	9	0.5423	10386	False
80	10	0.5380	22743	False
160	1	0.6323	10206	False
160	2	0.6293	10094	False
160	3	0.6269	10353	False
160	4	0.6239	9945	False
160	5	0.6044	22731	False
160	6	0.6003	10434	False
160	7	0.5844	22537	False
160	8	0.5796	21886	False
160	9	0.5778	14409	False
160	10	0.5775	10635	False
240	1	0.6521	10212	False
240	2	0.6456	10078	False
240	3	0.6433	9953	False
240	4	0.6419	10342	False
240	5	0.6159	10604	False
240	6	0.6144	10470	False
240	7	0.6058	22437	False
240	8	0.5976	14849	False
240	9	0.5972	21805	False
240	10	0.5962	22707	False
320	1	0.6641	10250	False
320	2	0.6558	10089	False
320	3	0.6525	9921	False
320	4	0.6461	10494	False
320	5	0.6151	26206	False
320	6	0.6111	22689	False
320	7	0.6103	10655	False
320	8	0.6089	21958	False
320	9	0.6087	14852	False
320	10	0.6075	22397	False
400	1	0.6668	10327	False
400	2	0.6635	10095	False
400	3	0.6514	10528	False
400	4	0.6425	9894	False
400	5	0.6236	26180	False
400	6	0.6229	14689	False
400	7	0.6183	22315	False
400	8	0.6169	21708	False
400	9	0.6163	22617	False
400	10	0.6155	21962	False
480	1	0.6720	10248	False
480	2	0.6618	10001	False
480	3	0.6544	10510	False
480	4	0.6314	22232	False
480	5	0.6281	26189	False
480	6	0.6275	14484	False
480	7	0.6260	21658	False
480	8	0.6244	22538	False
480	9	0.6218	21909	False
480	10	0.6207	14757	False
560	1	0.6762	10174	False
560	2	0.6604	10479	False
560	3	0.6527	9893	False
560	4	0.6486	22371	False
560	5	0.6405	14469	False
560	6	0.6340	22073	False
560	7	0.6326	21790	False
560	8	0.6310	26112	False
560	9	0.6294	21483	False
560	10	0.6227	23744	False
640	1	0.6780	10115	False
640	2	0.6561	10453	False
640	3	0.6542	22286	False
640	4	0.6439	14410	False
640	5	0.6385	26036	False
640	6	0.6356	21749	False
640	7	0.6326	22657	False
640	8	0.6305	23734	False
640	9	0.6291	10893	False
640	10	0.6288	23201	False
720	1	0.6804	9952	False
720	2	0.6649	10321	False
720	3	0.6564	22303	False
720	4	0.6510	14464	False
720	5	0.6444	21511	False
720	6	0.6422	25939	False
720	7	0.6398	20874	True
720	8	0.6369	23711	False
720	9	0.6362	22674	False
720	10	0.6356	21888	False
800	1	0.6811	9931	False
800	2	0.6587	22230	False
800	3	0.6569	10379	False
800	4	0.6544	14394	False
800	5	0.6453	25855	False
800	6	0.6441	21769	False
800	7	0.6415	20819	True
800	8	0.6395	21346	False
800	9	0.6395	22631	False
800	10	0.6383	23204	False
